symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,17.5,46901933680,true,true,true,false,15,0.89,,unknown,,unknown,,unknown,,,29010,6,12,5
FANG,Diamondback Energy Inc. Common Stock,Energy,206.29,57766223780,true,true,true,false,13,0.1,,unknown,,unknown,,unknown,,,1762,6,12,5
ETR,Entergy Corporation Common Stock,Utilities,108.52,50638850163,true,true,true,false,15,0.32,,unknown,,unknown,,unknown,,,12233,6,12,5
PAYX,Paychex Inc. Common Stock,Industrials,118.54,42162646224,true,true,true,false,14,5.49,,unknown,,unknown,,unknown,,,17600,6,12,5
LNG,Cheniere Energy Inc. Common Stock,Utilities,266.93,55130162795,true,true,true,false,12,0.16,,unknown,,unknown,,unknown,,,1717,6,12,5
XYZ,Block Inc. Class A Common Stock,Technology,80.2,48183759000,true,true,true,false,14,0.87,,unknown,,unknown,,unknown,,,10205,6,12,5
TRGP,Targa Resources Inc. Common Stock,Utilities,277.94,59598957977,true,true,true,false,9,0.14,,unknown,,unknown,,unknown,,,3570,6,12,5
OXY,Occidental Petroleum Corporation Common Stock,Energy,59.04,59018590384,true,true,true,false,12,0.33,,unknown,,unknown,,unknown,,,10412,6,12,5
A,Agilent Technologies Inc. Common Stock,Industrials,148.45,41927022087,true,true,true,false,11,3.29,,unknown,,unknown,,unknown,,,18100,6,12,5
IQV,IQVIA Holdings Inc. Common Stock,Health Care,241.24,39708104000,true,true,true,false,11,2.98,,unknown,,unknown,,unknown,,,93000,6,12,5
HIG,The Hartford Insurance Group Inc. Common Stock,Finance,136.71,37030911393,true,true,true,false,11,0.62,,unknown,,unknown,,unknown,,,19200,6,12,5
EBAY,eBay Inc. Common Stock,Real Estate,100.94,44918300000,true,true,true,false,12,0.23,,unknown,,unknown,,unknown,,,12300,6,12,5
KDP,Keurig Dr Pepper Inc. Common Stock,Consumer Staples,30.28,41205812431,true,true,true,false,9,2.91,,unknown,,unknown,,unknown,,,30600,6,12,5
GEHC,GE HealthCare Technologies Inc. Common Stock ,Health Care,72.37,32688534057,true,true,true,false,10,2.54,,unknown,,unknown,,unknown,,,54000,6,12,5
CRWV,CoreWeave Inc. Class A Common Stock,Technology,106,58462879812,true,true,true,false,10,8.26,,unknown,,unknown,,unknown,,,2189,6,12,5
NUE,Nucor Corporation Common Stock,Industrials,272.68,61864459332,true,true,true,false,10,0.1,,unknown,,unknown,,unknown,,,33000,6,12,5
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,Industrials,300.65,50783047353,true,true,true,false,9,0.11,,unknown,,unknown,,unknown,,,31000,6,12,5
VTR,Ventas Inc. Common Stock,Real Estate,91.17,46765319550,true,true,true,false,10,3.95,,unknown,,unknown,,unknown,,,542,6,12,5
STT,State Street Corporation Common Stock,Finance,193.04,53028428716,true,true,true,false,13,0.25,,unknown,,unknown,,unknown,,,52000,6,12,5
VEEV,Veeva Systems Inc. Class A Common Stock,Technology,238.34,38896777681,true,true,true,false,11,16.32,,unknown,,unknown,,unknown,,,7928,6,12,5
UAL,United Airlines Holdings Inc. Common Stock,Consumer Discretionary,122.26,39683611965,true,true,true,false,10,0.47,,unknown,,unknown,,unknown,,,113200,6,12,5
ZS,Zscaler Inc. Common Stock,Technology,184.44,29825704791,true,true,true,false,9,10.52,,unknown,,unknown,,unknown,,,7923,6,12,5
COHR,Coherent Corp. Common Stock,Technology,351.22,68712442322,true,true,true,false,15,0.63,,unknown,,unknown,,unknown,,,30216,6,12,5
ED,Consolidated Edison Inc. Common Stock,Utilities,108.99,40307622711,true,true,true,false,10,4.18,,unknown,,unknown,,unknown,,,15407,6,12,5
SYY,Sysco Corporation Common Stock,Consumer Discretionary,81.85,39139246465,true,true,true,false,9,1.76,,unknown,,unknown,,unknown,,,75000,6,12,5
MDB,MongoDB Inc. Class A Common Stock,Technology,438.7,35285486375,true,true,true,false,12,16.36,,unknown,,unknown,,unknown,,,5636,6,12,5
KEYS,Keysight Technologies Inc. Common Stock,Industrials,361.15,61718862153,true,true,true,false,15,0.02,,unknown,,unknown,,unknown,,,16800,6,12,5
EXPE,Expedia Group Inc. Common Stock,Consumer Discretionary,318.5,36466941284,true,true,true,false,10,0.2,,unknown,,unknown,,unknown,,,16000,6,12,5
LYV,Live Nation Entertainment Inc. Common Stock,Consumer Discretionary,184.44,43460309138,true,true,true,false,7,0.55,,unknown,,unknown,,unknown,,,34700,6,12,5
CIEN,Ciena Corporation Common Stock,Utilities,445.18,63016529816,true,true,true,false,10,2.37,,unknown,,unknown,,unknown,,,9080,6,12,5
